student_id,feedback
1,Overall good experience
2,Average experience
3,Paper was moderate
4,Very satisfied with the exam
5,Time was insufficient
6,The exam was fair and well structured
7,Time was insufficient
8,Not happy with difficulty level
9,Time was insufficient
10,Very satisfied with the exam
11,The exam was fair and well structured
12,Average experience
13,The exam was fair and well structured
14,Poor time management required
15,Excellent exam pattern
16,Questions were too difficult
17,Very satisfied with the exam
18,Questions were too difficult
19,The exam was fair and well structured
20,Paper was moderate
21,Not happy with difficulty level
22,Overall good experience
23,The exam was fair and well structured
24,Time was insufficient
25,Overall good experience
26,Overall good experience
27,Not happy with difficulty level
28,Average experience
29,Not happy with difficulty level
30,Very satisfied with the exam
31,The exam was fair and well structured
32,Not happy with difficulty level
33,Not happy with difficulty level
34,Poor time management required
35,Average experience
36,Overall good experience
37,Overall good experience
38,Excellent exam pattern
39,Average experience
40,Poor time management required
41,Overall good experience
42,The exam was fair and well structured
43,Average experience
44,Average experience
45,Poor time management required
46,Not happy with difficulty level
47,Time was insufficient
48,Excellent exam pattern
49,Excellent exam pattern
50,Average experience
51,Excellent exam pattern
52,Average experience
53,Very satisfied with the exam
54,The exam was fair and well structured
55,Excellent exam pattern
56,Average experience
57,Excellent exam pattern
58,The exam was fair and well structured
59,Poor time management required
60,Very satisfied with the exam
61,Time was insufficient
62,Paper was moderate
63,The exam was fair and well structured
64,Poor time management required
65,Very satisfied with the exam
66,Overall good experience
67,Paper was moderate
68,The exam was fair and well structured
69,Average experience
70,Excellent exam pattern
71,Questions were too difficult
72,Very satisfied with the exam
73,Paper was moderate
74,Poor time management required
75,Poor time management required
76,Excellent exam pattern
77,Average experience
78,Poor time management required
79,Overall good experience
80,Average experience
81,Very satisfied with the exam
82,The exam was fair and well structured
83,The exam was fair and well structured
84,Time was insufficient
85,Average experience
86,Average experience
87,Poor time management required
88,Overall good experience
89,Not happy with difficulty level
90,Paper was moderate
91,The exam was fair and well structured
92,Average experience
93,Overall good experience
94,Very satisfied with the exam
95,Very satisfied with the exam
96,Average experience
97,Questions were too difficult
98,The exam was fair and well structured
99,Overall good experience
100,Questions were too difficult
101,Paper was moderate
102,Paper was moderate
103,The exam was fair and well structured
104,Questions were too difficult
105,Not happy with difficulty level
106,Not happy with difficulty level
107,Time was insufficient
108,Average experience
109,Average experience
110,Average experience
111,Average experience
112,Excellent exam pattern
113,Average experience
114,Questions were too difficult
115,Very satisfied with the exam
116,Questions were too difficult
117,Questions were too difficult
118,Average experience
119,Time was insufficient
120,The exam was fair and well structured
121,Overall good experience
122,The exam was fair and well structured
123,Poor time management required
124,Excellent exam pattern
125,Poor time management required
126,The exam was fair and well structured
127,Time was insufficient
128,Time was insufficient
129,Paper was moderate
130,Paper was moderate
131,Average experience
132,Paper was moderate
133,Questions were too difficult
134,Poor time management required
135,Very satisfied with the exam
136,Not happy with difficulty level
137,Poor time management required
138,Very satisfied with the exam
139,Average experience
140,Average experience
141,Average experience
142,Poor time management required
143,Time was insufficient
144,Not happy with difficulty level
145,Not happy with difficulty level
146,Paper was moderate
147,Excellent exam pattern
148,Not happy with difficulty level
149,Poor time management required
150,Questions were too difficult
151,Average experience
152,Very satisfied with the exam
153,Paper was moderate
154,The exam was fair and well structured
155,Time was insufficient
156,Questions were too difficult
157,Average experience
158,Poor time management required
159,Very satisfied with the exam
160,Paper was moderate
161,Paper was moderate
162,Time was insufficient
163,Questions were too difficult
164,Overall good experience
165,Poor time management required
166,The exam was fair and well structured
167,Excellent exam pattern
168,Not happy with difficulty level
169,Questions were too difficult
170,Not happy with difficulty level
171,Average experience
172,Average experience
173,Time was insufficient
174,Overall good experience
175,Very satisfied with the exam
176,Poor time management required
177,Excellent exam pattern
178,The exam was fair and well structured
179,Very satisfied with the exam
180,Very satisfied with the exam
181,The exam was fair and well structured
182,Time was insufficient
183,Poor time management required
184,The exam was fair and well structured
185,Not happy with difficulty level
186,Not happy with difficulty level
187,The exam was fair and well structured
188,Overall good experience
189,Questions were too difficult
190,Poor time management required
191,Poor time management required
192,Overall good experience
193,Excellent exam pattern
194,Time was insufficient
195,Overall good experience
196,The exam was fair and well structured
197,Poor time management required
198,Paper was moderate
199,Excellent exam pattern
200,Not happy with difficulty level
201,The exam was fair and well structured
202,Average experience
203,Time was insufficient
204,The exam was fair and well structured
205,Average experience
206,Average experience
207,Average experience
208,The exam was fair and well structured
209,Not happy with difficulty level
210,Paper was moderate
211,Poor time management required
212,Questions were too difficult
213,Not happy with difficulty level
214,Excellent exam pattern
215,Very satisfied with the exam
216,Overall good experience
217,Very satisfied with the exam
218,Questions were too difficult
219,Time was insufficient
220,Overall good experience
221,Questions were too difficult
222,Time was insufficient
223,Average experience
224,Excellent exam pattern
225,Time was insufficient
226,Overall good experience
227,Poor time management required
228,Average experience
229,Not happy with difficulty level
230,Not happy with difficulty level
231,Average experience
232,Paper was moderate
233,Excellent exam pattern
234,Excellent exam pattern
235,Excellent exam pattern
236,Average experience
237,Not happy with difficulty level
238,Poor time management required
239,Very satisfied with the exam
240,Not happy with difficulty level
241,The exam was fair and well structured
242,Average experience
243,Poor time management required
244,Average experience
245,Average experience
246,Time was insufficient
247,Time was insufficient
248,Time was insufficient
249,Poor time management required
250,Questions were too difficult
251,Questions were too difficult
252,Very satisfied with the exam
253,Not happy with difficulty level
254,Not happy with difficulty level
255,Poor time management required
256,Time was insufficient
257,Excellent exam pattern
258,Overall good experience
259,Not happy with difficulty level
260,Questions were too difficult
261,Excellent exam pattern
262,Paper was moderate
263,Excellent exam pattern
264,Overall good experience
265,Poor time management required
266,Very satisfied with the exam
267,Poor time management required
268,Average experience
269,Questions were too difficult
270,Excellent exam pattern
271,Excellent exam pattern
272,The exam was fair and well structured
273,Excellent exam pattern
274,Excellent exam pattern
275,Excellent exam pattern
276,Poor time management required
277,Questions were too difficult
278,Not happy with difficulty level
279,Time was insufficient
280,Paper was moderate
281,Poor time management required
282,Time was insufficient
283,The exam was fair and well structured
284,Questions were too difficult
285,Excellent exam pattern
286,Time was insufficient
287,Overall good experience
288,Overall good experience
289,Not happy with difficulty level
290,Excellent exam pattern
291,Not happy with difficulty level
292,Time was insufficient
293,Excellent exam pattern
294,Not happy with difficulty level
295,Not happy with difficulty level
296,Very satisfied with the exam
297,Paper was moderate
298,Excellent exam pattern
299,Excellent exam pattern
300,The exam was fair and well structured
301,Overall good experience
302,Paper was moderate
303,Poor time management required
304,Average experience
305,Overall good experience
306,The exam was fair and well structured
307,Time was insufficient
308,Not happy with difficulty level
309,Questions were too difficult
310,Paper was moderate
311,Very satisfied with the exam
312,The exam was fair and well structured
313,Excellent exam pattern
314,Time was insufficient
315,Not happy with difficulty level
316,Overall good experience
317,Poor time management required
318,Not happy with difficulty level
319,Questions were too difficult
320,Not happy with difficulty level
321,Very satisfied with the exam
322,Not happy with difficulty level
323,Not happy with difficulty level
324,Paper was moderate
325,Overall good experience
326,Paper was moderate
327,Excellent exam pattern
328,Excellent exam pattern
329,Paper was moderate
330,The exam was fair and well structured
331,Poor time management required
332,Not happy with difficulty level
333,Average experience
334,Average experience
335,Not happy with difficulty level
336,Very satisfied with the exam
337,Time was insufficient
338,Questions were too difficult
339,Overall good experience
340,Average experience
341,Paper was moderate
342,Questions were too difficult
343,The exam was fair and well structured
344,Average experience
345,Paper was moderate
346,Paper was moderate
347,Paper was moderate
348,Average experience
349,Paper was moderate
350,Questions were too difficult
351,Poor time management required
352,Questions were too difficult
353,Very satisfied with the exam
354,The exam was fair and well structured
355,Paper was moderate
356,Excellent exam pattern
357,The exam was fair and well structured
358,Average experience
359,Paper was moderate
360,Overall good experience
361,Paper was moderate
362,Overall good experience
363,Time was insufficient
364,Average experience
365,Poor time management required
366,The exam was fair and well structured
367,Overall good experience
368,Not happy with difficulty level
369,Paper was moderate
370,The exam was fair and well structured
371,The exam was fair and well structured
372,Average experience
373,Poor time management required
374,Paper was moderate
375,Not happy with difficulty level
376,Not happy with difficulty level
377,Overall good experience
378,Paper was moderate
379,Paper was moderate
380,The exam was fair and well structured
381,Not happy with difficulty level
382,Excellent exam pattern
383,The exam was fair and well structured
384,Overall good experience
385,Poor time management required
386,Paper was moderate
387,The exam was fair and well structured
388,The exam was fair and well structured
389,Paper was moderate
390,Excellent exam pattern
391,Average experience
392,Very satisfied with the exam
393,Questions were too difficult
394,Excellent exam pattern
395,Overall good experience
396,Questions were too difficult
397,Paper was moderate
398,Questions were too difficult
399,Excellent exam pattern
400,Very satisfied with the exam
401,Questions were too difficult
402,Not happy with difficulty level
403,The exam was fair and well structured
404,Not happy with difficulty level
405,Time was insufficient
406,Questions were too difficult
407,Very satisfied with the exam
408,Overall good experience
409,Paper was moderate
